loan_amnt,funded_amnt,term,int_rate,installment,grade,sub_grade,emp_title,emp_length,home_ownership,annual_inc,verification_status,issue_d,loan_status,purpose,zip_code,addr_state,dti,delinq_2yrs,earliest_cr_line,inq_last_6mths,mths_since_last_delinq,mths_since_last_record,open_acc,pub_rec,revol_bal,revol_util,total_acc,last_pymnt_d,last_credit_pull_d,collections_12_mths_ex_med,chargeoff_within_12_mths,pub_rec_bankruptcies,tax_liens,revol_util_missing,loan_to_income,installment_ratio,credit_age_years,loan_duration_days,high_dti_flag,high_interest_flag,target_default
5000,5000, 36 months,10.65,162.87,B,B2,Unknown,10+ years,RENT,24000.0,Verified,2011-12-01,Fully Paid,credit_card,860xx,AZ,27.65,0,1985-01-01,1,0.0,0.0,3,0,13648,83.7,9,2015-01-01,2016-05-01,0.0,0.0,0.0,0.0,0,0.20833333333333334,0.006786250000000001,26.931506849315067,1127.0,1,0,0
2500,2500, 60 months,15.27,59.83,C,C4,Ryder,< 1 year,RENT,30000.0,Source Verified,2011-12-01,Charged Off,car,309xx,GA,1.0,0,1999-04-01,5,0.0,0.0,3,0,1687,9.4,4,2013-04-01,2013-09-01,0.0,0.0,0.0,0.0,0,0.08333333333333333,0.001994333333333333,12.676712328767124,487.0,0,1,1
2400,2400, 36 months,15.96,84.33,C,C5,Unknown,10+ years,RENT,12252.0,Not Verified,2011-12-01,Fully Paid,small_business,606xx,IL,8.72,0,2001-11-01,2,0.0,0.0,2,0,2956,98.5,10,2014-06-01,2016-05-01,0.0,0.0,0.0,0.0,0,0.1958863858961802,0.006882957884427032,10.087671232876712,913.0,0,1,0
10000,10000, 36 months,13.49,339.31,C,C1,AIR RESOURCES BOARD,10+ years,RENT,49200.0,Source Verified,2011-12-01,Fully Paid,other,917xx,CA,20.0,0,1996-02-01,1,35.0,0.0,10,0,5598,21.0,37,2015-01-01,2016-04-01,0.0,0.0,0.0,0.0,0,0.2032520325203252,0.006896544715447155,15.841095890410958,1127.0,0,0,0
3000,3000, 60 months,12.69,67.79,B,B5,University Medical Group,1 year,RENT,80000.0,Source Verified,2011-12-01,Current,other,972xx,OR,17.94,0,1996-01-01,0,38.0,0.0,15,0,27783,53.9,38,2016-05-01,2016-05-01,0.0,0.0,0.0,0.0,0,0.0375,0.000847375,15.926027397260274,1613.0,0,0,0
5000,5000, 36 months,7.9,156.46,A,A4,Veolia Transportaton,3 years,RENT,36000.0,Source Verified,2011-12-01,Fully Paid,wedding,852xx,AZ,11.2,0,2004-11-01,3,0.0,0.0,9,0,7963,28.3,12,2015-01-01,2016-01-01,0.0,0.0,0.0,0.0,0,0.1388888888888889,0.004346111111111111,7.0849315068493155,1127.0,0,0,0
7000,7000, 60 months,15.96,170.08,C,C5,Southern Star Photography,8 years,RENT,47004.0,Not Verified,2011-12-01,Fully Paid,debt_consolidation,280xx,NC,23.51,0,2005-07-01,1,0.0,0.0,7,0,17726,85.6,11,2016-05-01,2016-05-01,0.0,0.0,0.0,0.0,0,0.14892349587269169,0.003618415454003915,6.421917808219178,1613.0,1,1,0
3000,3000, 36 months,18.64,109.43,E,E1,MKC Accounting ,9 years,RENT,48000.0,Source Verified,2011-12-01,Fully Paid,car,900xx,CA,5.35,0,2007-01-01,2,0.0,0.0,4,0,8221,87.5,4,2015-01-01,2014-12-01,0.0,0.0,0.0,0.0,0,0.0625,0.002279791666666667,4.917808219178082,1127.0,0,1,0
5600,5600, 60 months,21.28,152.39,F,F2,Unknown,4 years,OWN,40000.0,Source Verified,2011-12-01,Charged Off,small_business,958xx,CA,5.55,0,2004-04-01,2,0.0,0.0,11,0,5210,32.6,13,2012-04-01,2012-08-01,0.0,0.0,0.0,0.0,0,0.14,0.0038097499999999998,7.671232876712328,122.0,0,1,1
5375,5375, 60 months,12.69,121.45,B,B5,Starbucks,< 1 year,RENT,15000.0,Verified,2011-12-01,Charged Off,other,774xx,TX,18.08,0,2004-09-01,0,0.0,0.0,2,0,9279,36.5,3,2012-11-01,2013-03-01,0.0,0.0,0.0,0.0,0,0.35833333333333334,0.008096666666666667,7.252054794520548,336.0,0,0,1
6500,6500, 60 months,14.65,153.45,C,C3,Southwest Rural metro,5 years,OWN,72000.0,Not Verified,2011-12-01,Fully Paid,debt_consolidation,853xx,AZ,16.12,0,1998-01-01,2,0.0,0.0,14,0,4032,20.6,23,2013-06-01,2015-12-01,0.0,0.0,0.0,0.0,0,0.09027777777777778,0.00213125,13.923287671232877,548.0,0,0,0
12000,12000, 36 months,12.69,402.54,B,B5,UCLA,10+ years,OWN,75000.0,Source Verified,2011-12-01,Fully Paid,debt_consolidation,913xx,CA,10.78,0,1989-10-01,0,0.0,0.0,12,0,23336,67.1,34,2013-09-01,2013-08-01,0.0,0.0,0.0,0.0,0,0.16,0.0053672,22.18082191780822,640.0,0,0,0
9000,9000, 36 months,13.49,305.38,C,C1,Va. Dept of Conservation/Recreation,< 1 year,RENT,30000.0,Source Verified,2011-12-01,Charged Off,debt_consolidation,245xx,VA,10.08,0,2004-04-01,1,0.0,0.0,4,0,10452,91.7,9,2012-07-01,2012-11-01,0.0,0.0,0.0,0.0,0,0.3,0.010179333333333334,7.671232876712328,213.0,0,0,1
